info,to_margin,ypp_margin,yds_margin,result
Presbyterian College @ Wake Forest: 7-51,0,2.17,239,1
Central Connecticut @ Syracuse: 7-50,1,3.37,419,1
Boston College @ Northern Illinois: 23-20,0,1.27,28,0
Florida State vs Alabama: 7-24,-3,0.32,19,1
Kent State @ Clemson: 3-56,1,6.08,545,1
Louisville vs Purdue: 35-28,1,-2.22,-180,0
Bethune-Cookman @ Miami: 13-41,-2,3.47,205,1
California @ North Carolina: 35-30,1,-1.48,-29,0
Youngstown State @ Pittsburgh: 21-28,0,-2.69,-70,1
West Virginia vs Virginia Tech: 24-31,-1,-0.14,-123,1
NC State vs South Carolina: 28-35,-1,-0.17,-258,1
William & Mary @ Virginia: 10-28,-1,0.47,114,1
North Carolina Central @ Duke: 7-60,-1,3.24,366,1
Tennessee vs Georgia Tech: 42-41,2,0.57,286,0
Northwestern @ Duke: 17-41,-1,1.64,347,1
Auburn @ Clemson: 6-14,2,2.42,164,1
Jacksonville State @ Georgia Tech: 10-37,-3,2.12,133,1
Wake Forest @ Boston College: 34-10,4,-0.63,-4,0
Indiana @ Virginia: 34-17,-1,-0.89,6,0
Middle Tennessee @ Syracuse: 30-23,-1,-1.95,-55,0
Marshall @ NC State: 20-37,-2,0.4,34,1
Pittsburgh @ Penn State: 14-33,-2,2.02,-30,1
Louisville @ North Carolina: 47-35,0,-1.92,-304,0
Clemson @ Louisville: 47-21,1,-1.29,-180,0
Delaware @ Virginia Tech: 0-27,-1,1.78,80,1
Oklahoma State @ Pittsburgh: 59-21,0,-3.72,-285,0
Virginia Tech @ East Carolina: 64-17,3,-2.5,-394,0
Connecticut @ Virginia: 18-38,-1,2.34,192,1
Furman @ NC State: 16-49,-3,2.12,161,1
Baylor @ Duke: 20-34,-2,-0.25,110,1
Utah State @ Wake Forest: 10-46,-1,2.91,321,1
Central Michigan @ Syracuse: 17-41,0,2.55,197,1
North Carolina @ Old Dominion: 53-23,2,-1.86,-195,0
Notre Dame @ Boston College: 49-20,1,-3.13,-211,0
Virginia @ Boise State: 42-23,1,-1.4,-57,0
Boston College @ Clemson: 7-34,0,2.13,244,1
NC State @ Florida State: 27-21,1,0.66,17,0
Old Dominion @ Virginia Tech: 0-38,0,3.56,433,1
Toledo @ Miami: 30-52,0,4.42,158,1
Kent State @ Louisville: 3-42,1,6.91,389,1
Syracuse @ LSU: 26-35,0,2.1,30,1
Pittsburgh @ Georgia Tech: 17-35,3,2.27,249,1
Wake Forest @ Appalachian State: 20-19,0,0.54,150,0
Duke @ North Carolina: 27-17,1,0.89,-11,0
Clemson @ Virginia Tech: 31-17,3,-0.5,10,0
Miami @ Duke: 31-6,1,-2.74,-60,0
Louisville @ NC State: 25-39,0,1.22,50,1
Murray State @ Louisville: 10-55,1,5.57,596,1
Wake Forest @ Clemson: 14-28,2,-0.08,117,1
Miami @ Florida State: 24-20,1,1.1,69,0
Virginia Tech @ Boston College: 23-10,-1,-0.11,-87,0
Notre Dame @ North Carolina: 33-10,1,-1.75,-222,0
Rice @ Pittsburgh: 10-42,-2,2.11,202,1
Duke @ Virginia: 21-28,0,0.38,55,1
Pittsburgh @ Syracuse: 24-27,0,-0.57,142,1
Clemson @ Syracuse: 24-27,1,-0.26,123,1
Georgia Tech @ Miami: 24-25,-1,1.89,200,1
North Carolina @ Georgia Tech: 7-33,0,1.74,209,1
Syracuse @ NC State: 25-33,-1,0.01,18,1
NC State @ Pittsburgh: 35-17,2,-2.85,-120,0
Florida State @ Duke: 17-10,-1,-1.89,-110,0
Central Michigan @ Boston College: 8-28,-1,0.28,13,1
Boston College @ Louisville: 45-42,1,1.95,70,0
Florida State @ Wake Forest: 26-19,1,1.1,97,0
Virginia @ North Carolina: 20-14,2,-0.34,-148,0
Wake Forest @ Georgia Tech: 24-38,-1,0.49,133,1
Syracuse @ Miami: 19-27,-3,2.11,81,1
North Carolina @ Virginia Tech: 7-59,-3,2.56,211,1
Louisville @ Florida State: 31-28,2,-0.8,-46,0
Florida State @ Boston College: 3-35,-3,0.53,116,1
Pittsburgh @ Duke: 24-17,2,-0.48,-126,0
Boston College @ Virginia: 41-10,3,-3.58,-265,0
Virginia @ Pittsburgh: 14-31,0,-1.04,4,1
Georgia Tech @ Clemson: 10-24,0,1.38,198,1
Wake Forest @ Notre Dame: 37-48,-1,1.78,123,1
Clemson @ NC State: 38-31,1,0.16,76,0
Miami @ North Carolina: 24-19,2,-1.03,13,0
Virginia Tech @ Miami: 10-28,-1,3.41,130,1
Syracuse @ Florida State: 24-27,0,1.25,-120,1
NC State @ Notre Dame: 14-35,-1,1.47,159,1
Duke @ Virginia Tech: 3-24,-2,1.99,204,1
Georgia Tech @ Virginia: 36-40,0,-0.14,-42,1
Louisville @ Wake Forest: 32-42,0,2.62,102,1
Notre Dame @ Miami: 8-41,-4,1.52,113,1
North Carolina @ Pittsburgh: 34-31,1,0.85,41,0
Florida State @ Clemson: 14-31,0,0.52,149,1
The Citadel @ Clemson: 3-61,-2,6.4,446,1
Virginia @ Miami: 28-44,-1,-0.79,-81,1
NC State @ Wake Forest: 24-30,-2,0.62,-168,1
Virginia Tech @ Georgia Tech: 22-28,1,2.01,143,1
Delaware State @ Florida State: 6-77,-2,5.24,290,1
NC State @ Boston College: 17-14,0,-0.46,-20,0
Pittsburgh @ Virginia Tech: 14-20,-1,-0.94,9,1
Western Carolina @ North Carolina: 10-65,-2,4.03,307,1
Syracuse @ Louisville: 10-56,-4,5.86,392,1
Georgia Tech @ Duke: 20-43,-1,0.44,141,1
Boston College vs Connecticut: 39-16,2,-0.45,27,0
Miami @ Pittsburgh: 14-24,1,0.73,113,1
Virginia Tech @ Virginia: 10-0,0,-1.13,-154,0
Duke @ Army: 16-21,-1,0.6,15,1
Wake Forest @ Syracuse: 64-43,1,-1.97,-113,0
Clemson @ South Carolina: 34-10,0,-1.82,-262,0
Georgia @ Georgia Tech: 38-7,1,-3.74,-245,0
Florida State @ Florida: 38-22,3,-0.09,64,0
Louisville @ Kentucky: 44-17,0,-3.33,-224,0
Boston College @ Syracuse: 42-14,2,-0.92,-164,0
Duke @ Wake Forest: 31-23,0,-0.11,-107,0
North Carolina @ NC State: 21-33,-1,1.4,136,1
Virginia @ Louisville: 21-38,0,2.82,216,1
Miami vs Clemson: 3-38,-2,0.79,117,1
Louisiana Monroe @ Florida State: 10-42,2,3.06,204,1
Alabama vs Clemson: 24-6,1,-1.27,-73,0
Louisville vs Mississippi State: 27-31,1,-0.27,-46,1
Duke vs Northern Illinois: 36-14,1,-0.19,166,0
Southern Mississippi vs Florida State: 13-42,1,-1.38,-192,1
Iowa vs Boston College: 27-20,-3,-1.77,-183,0
NC State vs Arizona State: 52-31,3,0.01,-13,0
Wake Forest vs Texas A&M: 55-52,1,-0.13,-32,0
Virginia Tech vs Oklahoma State: 21-30,-2,1.99,-30,1
Wisconsin @ Miami: 34-24,-2,-1.73,23,0
Virginia @ Navy: 7-49,-3,2.63,277,1
Tulsa @ Oklahoma State: 24-59,0,5.75,208,1
UTEP @ Oklahoma: 7-56,-1,5.66,509,1
Central Arkansas @ Kansas State: 19-55,-3,6.36,98,1
Maryland @ Texas: 51-41,1,-2.68,-9,0
Eastern Washington @ Texas Tech: 10-56,-3,4.17,325,1
Liberty @ Baylor: 48-45,2,2.63,-53,0
Southeast Missouri State @ Kansas: 16-38,2,3.76,184,1
Jackson State @ TCU: 0-63,-1,7.05,477,1
Northern Iowa @ Iowa State: 24-42,-2,-0.6,27,1
East Carolina @ West Virginia: 20-56,-2,1.63,144,1
Iowa @ Iowa State: 44-41,1,0.43,-30,0
Oklahoma State @ South Alabama: 44-7,2,-3.04,-330,0
Oklahoma @ Ohio State: 31-16,-1,-1.73,-140,0
Charlotte @ Kansas State: 7-55,-3,3.49,325,1
TCU @ Arkansas: 28-7,-1,-0.0,-94,0
Tulane @ Oklahoma: 14-56,0,6.24,340,1
Texas @ USC: 24-27,-2,0.44,102,1
Kansas State @ Vanderbilt: 7-14,-1,0.51,-7,1
SMU @ TCU: 36-56,1,1.03,156,1
Kansas @ Ohio: 30-42,0,1.32,-1,1
Delaware State @ West Virginia: 16-59,0,2.78,237,1
Iowa State @ Akron: 41-14,3,-2.39,-177,0
Arizona State @ Texas Tech: 45-52,0,1.97,121,1
Oklahoma @ Baylor: 49-41,0,-4.44,-102,0
TCU @ Oklahoma State: 44-31,3,1.35,33,0
Texas Tech @ Houston: 27-24,4,-1.53,-94,0
West Virginia @ Kansas: 56-34,2,-1.03,-71,0
Texas @ Iowa State: 17-7,1,0.0,-56,0
Oklahoma State @ Texas Tech: 41-34,0,-1.95,-213,0
Baylor @ Kansas State: 20-33,-1,0.45,-31,1
San José State @ Texas: 0-56,-2,3.79,452,1
Iowa State @ Oklahoma: 38-31,1,-0.18,64,0
West Virginia @ TCU: 24-31,-2,0.2,-102,1
Central Michigan @ Kansas: 45-27,1,-3.3,-120,0
UT San Antonio @ Baylor: 17-10,0,-1.05,-101,0
Texas Tech @ Kansas: 65-19,2,-2.79,-235,0
Kansas @ TCU: 0-43,0,6.36,454,1
Kansas State @ Texas: 34-40,0,-0.35,152,1
TCU @ Kansas State: 26-6,0,-1.75,-179,0
Oklahoma vs Texas: 29-24,-1,-2.51,-90,0
Baylor @ Oklahoma State: 16-59,-1,5.8,360,1
Texas Tech @ West Virginia: 35-46,0,-1.47,-117,1
Oklahoma @ Kansas State: 42-35,0,-0.48,-207,0
Kansas @ Iowa State: 0-45,-2,2.56,212,1
Oklahoma State @ Texas: 13-10,0,-0.71,-145,0
TCU @ Iowa State: 7-14,-2,-1.45,-52,1
Texas Tech @ Oklahoma: 27-49,0,1.37,180,1
