info,to_margin,ypp_margin,yds_margin,result
Wake Forest @ Tulane: 23-17,-2,-0.31,-112,0
Albany @ Pittsburgh: 7-33,0,-1.12,-84,1
North Carolina @ California: 17-24,-4,-0.77,-29,1
Richmond @ Virginia: 13-42,-1,1.96,267,1
Florida State @ Notre Dame: 13-42,0,2.47,173,1
Clemson @ Boston College: 27-7,-2,-3.99,-311,0
Louisville vs Alabama: 14-51,-1,3.51,251,1
Miami vs LSU: 17-33,-2,-0.4,-46,1
Virginia Tech @ Florida State: 24-3,5,0.36,8,0
Duke @ Northwestern: 21-7,2,-0.45,80,0
Georgia Tech @ South Florida: 38-49,-2,-2.34,-181,1
Georgia State @ NC State: 7-41,0,2.36,192,1
Towson @ Wake Forest: 20-51,1,2.12,172,1
Holy Cross @ Boston College: 14-62,-1,5.49,416,1
William & Mary @ Virginia Tech: 17-62,-1,3.98,320,1
Wagner @ Syracuse: 10-62,-2,1.81,168,1
North Carolina @ East Carolina: 19-41,0,0.49,115,1
Savannah State @ Miami: 0-77,-2,5.92,416,1
Clemson @ Texas A&M: 28-26,2,-0.04,88,0
Virginia @ Indiana: 16-20,0,1.27,93,1
Army @ Duke: 14-34,-1,1.96,16,1
Syracuse @ Western Michigan: 55-42,1,3.48,61,0
James Madison @ NC State: 13-24,0,0.08,27,1
Penn State @ Pittsburgh: 51-6,1,-1.61,-76,0
Alcorn State @ Georgia Tech: 0-41,1,4.68,397,1
UMass @ Boston College: 21-55,-3,2.45,307,1
Samford @ Florida State: 26-36,-4,-1.04,-71,1
Ohio @ Virginia: 31-45,1,3.08,188,1
Boston College @ Wake Forest: 41-34,1,-2.72,-12,0
Georgia Southern @ Clemson: 7-38,2,5.03,455,1
Western Kentucky @ Louisville: 17-20,0,-0.33,-136,1
Miami @ Toledo: 49-24,1,-0.56,-139,0
Florida State @ Syracuse: 7-30,-1,1.07,201,1
Georgia Tech @ Pittsburgh: 19-24,-1,0.77,-51,1
Duke @ Baylor: 40-27,2,0.01,1,0
Notre Dame @ Wake Forest: 56-27,0,-3.12,-168,0
Pittsburgh @ North Carolina: 35-38,0,1.02,84,1
Boston College @ Purdue: 13-30,-2,1.76,143,1
Clemson @ Georgia Tech: 49-21,-1,-4.1,-277,0
Florida International @ Miami: 17-31,1,2.66,301,1
North Carolina Central @ Duke: 13-55,1,3.01,441,1
Northern Illinois @ Florida State: 19-37,4,1.69,252,1
Virginia Tech @ Old Dominion: 35-49,-1,0.29,32,1
Connecticut @ Syracuse: 21-51,-2,2.35,241,1
Louisville @ Virginia: 3-27,-2,2.41,187,1
North Carolina @ Miami: 10-47,-4,3.31,25,1
NC State @ Marshall: 37-20,2,-1.62,-178,0
Florida State @ Louisville: 28-24,2,-1.29,52,0
Bowling Green @ Georgia Tech: 17-63,-3,4.98,139,1
Syracuse @ Clemson: 23-27,2,1.08,158,1
Virginia Tech @ Duke: 31-14,1,-1.63,-86,0
Virginia @ NC State: 21-35,-2,0.61,82,1
Georgia Tech @ Louisville: 66-31,3,-1.06,-71,0
Temple @ Boston College: 35-45,-1,-1.35,-29,1
Rice @ Wake Forest: 24-56,-1,1.92,44,1
Boston College @ NC State: 23-28,3,-0.23,215,1
Syracuse @ Pittsburgh: 37-44,0,1.35,30,1
Clemson @ Wake Forest: 63-3,0,-6.78,-449,0
Pittsburgh @ UCF: 14-45,-1,2.58,296,1
Notre Dame @ Virginia Tech: 45-23,1,-1.35,3,0
Florida State @ Miami: 27-28,-1,0.85,106,1
Duke @ Georgia Tech: 28-14,0,-0.53,50,0
Louisville @ Boston College: 20-38,1,1.94,213,1
Virginia Tech @ North Carolina: 22-19,0,2.41,149,0
Miami @ Virginia: 13-16,0,-2.12,-108,1
Virginia @ Duke: 28-14,2,-0.18,-56,0
Miami @ Boston College: 14-27,-1,1.28,136,1
Pittsburgh @ Virginia: 23-13,1,-0.8,-69,0
Wake Forest @ NC State: 27-23,-1,-0.8,-14,0
Louisville @ Syracuse: 23-54,-1,0.38,103,1
Georgia Tech @ Virginia Tech: 49-28,1,1.0,-141,0
Georgia Tech @ Georgia: 21-45,1,3.68,228,1
North Carolina @ Syracuse: 37-40,0,1.16,46,1
Pittsburgh @ Wake Forest: 34-13,2,-1.19,-185,0
Syracuse @ Boston College: 42-21,3,-0.93,-204,0
Marshall @ Virginia Tech: 20-41,-2,0.54,2,1
Florida @ Florida State: 41-14,3,-2.28,-243,0
Wake Forest @ Florida State: 17-38,0,3.38,116,1
NC State @ Clemson: 7-41,-2,1.45,174,1
Wake Forest @ Louisville: 56-35,1,-2.3,-59,0
Wake Forest @ Duke: 59-7,4,-2.88,-266,0
East Carolina @ NC State: 3-58,0,5.85,551,1
Louisville @ Clemson: 16-77,-1,7.14,349,1
Georgia Tech @ North Carolina: 38-28,0,-1.85,-191,0
NC State @ North Carolina: 34-28,0,0.45,23,0
NC State @ Syracuse: 41-51,-1,-0.31,20,1
North Carolina @ Virginia: 21-31,0,0.37,88,1
Virginia @ Virginia Tech: 31-34,0,-0.69,29,1
Pittsburgh @ Notre Dame: 14-19,2,0.87,101,1
Clemson @ Florida State: 59-10,1,-3.42,-270,0
North Carolina @ Duke: 35-42,3,0.45,93,1
Liberty @ Virginia: 24-45,-2,1.39,35,1
Syracuse vs Notre Dame: 3-36,-2,3.05,229,1
Duke @ Pittsburgh: 45-54,-1,0.89,15,1
Western Carolina @ North Carolina: 26-49,1,2.2,221,1
Pittsburgh @ Miami: 3-24,1,2.93,145,1
Virginia Tech @ Pittsburgh: 22-52,1,8.89,222,1
Virginia @ Georgia Tech: 27-30,-1,-1.52,-98,1
Boston College @ Virginia Tech: 31-21,1,-0.32,-4,0
Florida State @ NC State: 28-47,-2,-1.13,-28,1
Miami @ Virginia Tech: 38-14,3,-0.28,-4,0
Kentucky @ Louisville: 56-10,-2,-2.25,-299,0
Boston College @ Florida State: 21-22,0,1.52,56,1
South Carolina @ Clemson: 35-56,0,0.09,144,1
Duke @ Clemson: 6-35,0,2.8,197,1
Clemson vs Pittsburgh: 42-10,3,-3.98,-219,0
Duke @ Miami: 20-12,1,1.38,121,0
Miami @ Georgia Tech: 21-27,-2,-0.31,5,1
Missouri State @ Oklahoma State: 17-58,0,3.96,472,1
Florida Atlantic @ Oklahoma: 14-63,-1,6.11,326,1
Southern @ TCU: 7-55,-3,3.19,314,1
Ole Miss vs Texas Tech: 47-27,-1,-3.98,-60,0
Texas vs Maryland: 29-34,-3,-0.31,2,1
West Virginia vs Tennessee: 40-14,-1,-4.19,-246,0
South Dakota @ Kansas State: 24-27,4,1.1,74,1
Oklahoma @ Texas Tech: 51-46,-2,-2.26,-214,0
Nicholls @ Kansas: 26-23,0,-0.8,-74,0
Abilene Christian @ Baylor: 27-55,0,2.51,140,1
TCU @ SMU: 42-12,-1,-2.17,-145,0
Mississippi State @ Kansas State: 31-10,0,-4.35,-325,0
UCLA @ Oklahoma: 21-49,1,1.84,98,1
Kansas @ Central Michigan: 31-7,6,-0.35,-81,0
Rutgers @ Kansas: 14-55,-6,3.17,270,1
Lamar @ Texas Tech: 0-77,-3,5.48,501,1
Oklahoma @ Iowa State: 37-27,0,-0.76,-72,0
Boise State @ Oklahoma State: 21-44,-1,1.81,10,1
Duke @ Baylor: 40-27,2,0.01,1,0
UT San Antonio @ Kansas State: 17-41,1,3.02,149,1
Houston @ Texas Tech: 49-63,1,0.14,69,1
Ohio State vs TCU: 40-28,3,0.15,-15,0
Iowa State @ Iowa: 3-13,-1,0.88,83,1
Youngstown State @ West Virginia: 17-52,0,3.45,332,1
USC @ Texas: 14-37,0,-0.15,77,1
Akron @ Iowa State: 13-26,1,1.15,121,1
Texas @ Texas Tech: 41-34,3,1.63,126,0
Baylor @ UT San Antonio: 37-20,0,-2.54,-239,0
Kansas State @ West Virginia: 6-35,3,2.36,146,1
Kansas @ Baylor: 7-26,0,1.63,175,1
TCU @ Texas: 16-31,-4,-0.4,-5,1
Army @ Oklahoma: 21-28,0,4.47,-24,1
Tulsa @ Texas: 21-28,-1,0.94,125,1
