team1,t1pyth,team2,t2pyth
Wake Forest,0.306,Tulane,0.694
Army,0.086,Duke,0.914
Syracuse,0.111,Western Michigan,0.889
James Madison,0.384,NC State,0.616
Alcorn State,0.006,Georgia Tech,0.994
UMass,0.002,Boston College,0.998
Albany,0.18,Pittsburgh,0.82
North Carolina,0.067,California,0.933
Richmond,0.017,Virginia,0.983
Florida State,0.048,Notre Dame,0.952
Clemson,0.946,Boston College,0.054
Louisville,0.007,Alabama,0.993
Miami,0.229,LSU,0.771
Virginia Tech,0.966,Florida State,0.034
Duke,0.74,Northwestern,0.26
Georgia Tech,0.718,South Florida,0.282
Georgia State,0.046,NC State,0.954
Towson,0.121,Wake Forest,0.879
Holy Cross,0.001,Boston College,0.999
William & Mary,0.003,Virginia Tech,0.997
Wagner,0.017,Syracuse,0.983
North Carolina,0.209,East Carolina,0.791
Savannah State,0.0,Miami,1.0
Clemson,0.676,Texas A&M,0.324
Virginia,0.158,Indiana,0.842
Penn State,0.888,Pittsburgh,0.112
Samford,0.101,Florida State,0.899
Boston College,0.912,Wake Forest,0.088
Georgia Southern,0.007,Clemson,0.993
Miami,0.863,Toledo,0.137
Florida State,0.045,Syracuse,0.955
Georgia Tech,0.241,Pittsburgh,0.759
Duke,0.785,Baylor,0.215
Notre Dame,0.947,Wake Forest,0.053
Pittsburgh,0.189,North Carolina,0.811
Clemson,0.97,Georgia Tech,0.03
Ohio,0.063,Virginia,0.937
Florida International,0.039,Miami,0.961
Western Kentucky,0.711,Louisville,0.289
North Carolina Central,0.012,Duke,0.988
Northern Illinois,0.516,Florida State,0.484
Boston College,0.02,Purdue,0.98
Louisville,0.01,Virginia,0.99
Virginia Tech,0.196,Old Dominion,0.804
Connecticut,0.007,Syracuse,0.993
North Carolina,0.004,Miami,0.996
NC State,0.972,Marshall,0.028
Florida State,0.854,Louisville,0.146
Virginia Tech,0.896,Duke,0.104
Georgia Tech,0.962,Louisville,0.038
Bowling Green,0.001,Georgia Tech,0.999
Syracuse,0.389,Clemson,0.611
Virginia,0.061,NC State,0.939
Boston College,0.681,NC State,0.319
Temple,0.511,Boston College,0.489
Rice,0.074,Wake Forest,0.926
Pittsburgh,0.009,UCF,0.991
Syracuse,0.215,Pittsburgh,0.785
Notre Dame,0.797,Virginia Tech,0.203
Duke,0.44,Georgia Tech,0.56
Louisville,0.105,Boston College,0.895
Pittsburgh,0.517,Notre Dame,0.483
Virginia Tech,0.059,North Carolina,0.941
Miami,0.863,Virginia,0.137
Virginia,0.859,Duke,0.141
Clemson,0.999,Wake Forest,0.001
Florida State,0.094,Miami,0.906
Miami,0.06,Boston College,0.94
Georgia Tech,0.704,Virginia Tech,0.296
Pittsburgh,0.82,Virginia,0.18
Georgia Tech,0.034,Georgia,0.966
North Carolina,0.217,Syracuse,0.783
Pittsburgh,0.965,Wake Forest,0.035
Wake Forest,0.4,NC State,0.6
Syracuse,0.983,Boston College,0.017
Marshall,0.106,Virginia Tech,0.894
Florida,0.994,Florida State,0.006
Louisville,0.124,Syracuse,0.876
Wake Forest,0.04,Florida State,0.96
NC State,0.02,Clemson,0.98
Wake Forest,0.916,Louisville,0.084
Wake Forest,0.998,Duke,0.002
East Carolina,0.0,NC State,1.0
Louisville,0.0,Clemson,1.0
Georgia Tech,0.904,North Carolina,0.096
North Carolina,0.255,Virginia,0.745
NC State,0.337,North Carolina,0.663
NC State,0.279,Syracuse,0.721
Virginia,0.501,Virginia Tech,0.499
Clemson,0.989,Florida State,0.011
North Carolina,0.762,Duke,0.238
Liberty,0.052,Virginia,0.948
Clemson,0.998,Pittsburgh,0.002
Syracuse,0.005,Notre Dame,0.995
Duke,0.158,Pittsburgh,0.842
Western Carolina,0.086,North Carolina,0.914
Pittsburgh,0.091,Miami,0.909
Virginia Tech,0.001,Pittsburgh,0.999
Virginia,0.651,Georgia Tech,0.349
Boston College,0.683,Virginia Tech,0.317
Florida State,0.294,NC State,0.706
Miami,0.908,Virginia Tech,0.092
Kentucky,0.843,Louisville,0.157
Duke,0.238,Miami,0.762
Boston College,0.171,Florida State,0.829
South Carolina,0.218,Clemson,0.782
Duke,0.034,Clemson,0.966
Miami,0.165,Georgia Tech,0.835
Notre Dame,0.006,Clemson,0.994
South Carolina,0.078,Virginia,0.922
Clemson,0.045,Alabama,0.955
NC State,0.002,Texas A&M,0.998
Memphis,0.831,Wake Forest,0.169
Cincinnati,0.148,Virginia Tech,0.852
Miami,0.002,Wisconsin,0.998
Minnesota,0.048,Georgia Tech,0.952
Temple,0.945,Duke,0.055
Stanford,0.155,Pittsburgh,0.845
West Virginia,0.637,Syracuse,0.363
Missouri State,0.003,Oklahoma State,0.997
Florida Atlantic,0.001,Oklahoma,0.999
Southern,0.001,TCU,0.999
Ole Miss,0.872,Texas Tech,0.128
Texas,0.085,Maryland,0.915
South Dakota,0.839,Kansas State,0.161
Oklahoma,0.752,Texas Tech,0.248
Nicholls,0.685,Kansas,0.315
West Virginia,0.965,Tennessee,0.035
TCU,0.795,SMU,0.205
Mississippi State,0.991,Kansas State,0.009
UCLA,0.215,Oklahoma,0.785
Kansas,0.994,Central Michigan,0.006
Lamar,0.0,Texas Tech,1.0
Iowa State,0.106,Iowa,0.894
Abilene Christian,0.058,Baylor,0.942
Youngstown State,0.009,West Virginia,0.991
Baylor,0.953,UT San Antonio,0.047
Tulsa,0.079,Texas,0.921
South Alabama,0.017,Oklahoma State,0.983
Rutgers,0.0,Kansas,1.0
Oklahoma,0.676,Iowa State,0.324
Boise State,0.098,Oklahoma State,0.902
UT San Antonio,0.084,Kansas State,0.916
Houston,0.494,Texas Tech,0.506
Texas,0.547,Texas Tech,0.453
Kansas State,0.399,West Virginia,0.601
Ohio State,0.89,TCU,0.11
USC,0.339,Texas,0.661
Akron,0.266,Iowa State,0.734
