info,to_margin,ypp_margin,yds_margin,result
Notre Dame @ Louisville: 35-17,2,-1.4,-40,0
William & Mary @ Virginia: 17-52,3,3.18,318,1
Georgia Tech @ Clemson: 14-52,-1,3.4,327,1
Wake Forest @ Rice: 41-21,1,-3.82,-192,0
Florida vs Miami: 24-20,3,1.06,9,0
Ohio @ Pittsburgh: 10-20,0,2.71,269,1
Syracuse @ Maryland: 20-63,-1,2.1,249,1
Old Dominion @ Virginia Tech: 17-31,2,1.58,79,1
Western Carolina @ NC State: 0-41,-1,3.97,434,1
South Florida @ Georgia Tech: 10-14,0,-1.12,-7,1
Richmond @ Boston College: 13-45,-2,2.65,154,1
Louisiana Monroe @ Florida State: 44-45,2,0.26,82,1
North Carolina A&T @ Duke: 13-45,0,1.75,325,1
Eastern Kentucky @ Louisville: 0-42,1,6.43,370,1
Miami @ North Carolina: 25-28,0,-0.04,-99,1
Texas A&M @ Clemson: 10-24,-1,1.53,100,1
North Carolina @ Wake Forest: 18-24,0,0.92,103,1
Kansas @ Boston College: 48-24,-1,-2.8,-120,0
Furman @ Virginia Tech: 17-24,0,1.49,119,1
NC State @ West Virginia: 27-44,1,2.25,76,1
The Citadel @ Georgia Tech: 27-24,-1,1.88,-49,0
Bethune-Cookman @ Miami: 0-63,-1,5.46,453,1
Louisville vs Western Kentucky: 38-21,1,-2.08,-127,0
Duke @ Middle Tennessee: 41-18,0,-0.68,-124,0
Florida State @ Virginia: 24-31,2,0.67,84,1
Clemson @ Syracuse: 41-6,-1,-5.99,-425,0
Elon @ Wake Forest: 7-49,1,4.01,424,1
Boston College @ Rutgers: 30-16,2,1.38,-51,0
Western Michigan @ Syracuse: 33-52,-2,-0.32,-12,1
Appalachian State @ North Carolina: 34-31,2,-0.3,84,0
Louisville @ Florida State: 24-35,-1,1.51,119,1
UCF @ Pittsburgh: 34-35,-1,-0.6,20,1
Central Michigan @ Miami: 12-17,-2,2.01,53,1
Ball State @ NC State: 23-34,2,0.39,-28,1
Old Dominion @ Virginia: 17-28,-1,0.75,-26,1
Charlotte @ Clemson: 10-52,1,3.56,250,1
Duke @ Virginia Tech: 45-10,2,-2.0,-163,0
Holy Cross @ Syracuse: 3-41,2,3.9,291,1
Delaware @ Pittsburgh: 14-17,2,3.09,273,1
Clemson @ North Carolina: 21-20,-1,-0.82,-41,0
Wake Forest @ Boston College: 27-24,1,1.81,68,0
Utah State @ Wake Forest: 35-38,-2,-2.03,-17,1
Georgia Tech @ Temple: 2-24,-2,0.18,17,1
East Carolina @ NC State: 6-34,-2,3.58,236,1
Alabama vs Duke: 42-3,-2,2.79,308,0
Virginia @ Notre Dame: 20-35,-4,0.5,-16,1
South Carolina vs North Carolina: 20-24,-1,1.69,203,1
Virginia Tech @ Boston College: 28-35,-4,0.79,-10,1
NC State @ Florida State: 13-31,-2,0.5,-1,1
Syracuse @ Liberty: 24-0,1,-1.58,-134,0
Virginia @ Pittsburgh: 30-14,2,-0.92,-47,0
Boise State vs Florida State: 36-31,-1,1.12,-195,0
Boston College @ Louisville: 39-41,-2,1.29,101,1
North Carolina @ Georgia Tech: 38-22,1,0.01,-266,0
Virginia Tech @ Miami: 42-35,5,1.96,226,0
Pittsburgh @ Duke: 33-30,-2,0.82,49,0
Syracuse @ NC State: 10-16,1,1.11,23,1
Virginia @ Miami: 9-17,-1,0.33,-64,1
Georgia Tech @ Duke: 23-41,0,-0.08,-6,1
Georgia Tech @ Miami: 28-21,0,0.28,12,0
Florida State @ Clemson: 14-45,-2,2.21,324,1
Rhode Island @ Virginia Tech: 17-34,0,2.21,175,1
Louisville @ Wake Forest: 62-59,1,-0.99,148,0
Pittsburgh @ Syracuse: 27-20,-1,-0.76,-49,0
NC State @ Boston College: 24-45,-1,1.94,166,1
Clemson @ Louisville: 45-10,1,-3.83,-288,0
Duke @ Virginia: 14-48,-3,0.93,57,1
Florida State @ Wake Forest: 20-22,-2,0.39,-25,1
North Carolina @ Virginia Tech: 41-43,2,0.53,-1,1
Pittsburgh @ Penn State: 10-17,0,1.06,-7,1
Oklahoma State @ Oregon State: 52-36,0,-2.09,-107,0
Northern Iowa @ Iowa State: 26-29,1,1.79,201,1
Houston @ Oklahoma: 31-49,2,5.33,278,1
James Madison @ West Virginia: 13-20,-3,-0.22,-24,1
LSU @ Texas: 45-38,-1,-2.19,-43,0
West Virginia @ Missouri: 7-38,-3,2.0,211,1
UT San Antonio @ Baylor: 14-63,-1,4.78,280,1
Coastal Carolina @ Kansas: 12-7,2,0.38,-11,0
South Dakota @ Oklahoma: 14-70,-3,5.24,394,1
McNeese @ Oklahoma State: 14-56,0,3.21,262,1
UTEP @ Texas Tech: 3-38,1,3.14,293,1
Kansas State @ Mississippi State: 31-24,0,-0.12,83,0
Oklahoma State @ Tulsa: 40-21,-2,-2.94,-110,0
Iowa @ Iowa State: 18-17,2,3.29,102,0
TCU @ Purdue: 34-13,1,-1.36,-217,0
Oklahoma @ UCLA: 48-14,2,-4.61,-300,0
Texas @ Rice: 48-13,0,-2.35,-243,0
Texas Tech @ Arizona: 14-28,1,0.8,88,1
Louisiana Monroe @ Iowa State: 20-72,-1,5.34,289,1
SMU @ TCU: 41-38,2,0.48,18,0
West Virginia @ Kansas: 29-24,2,2.81,23,0
Baylor @ Rice: 21-13,-1,-3.11,-185,0
Oklahoma State @ Texas: 30-36,1,1.46,4,1
Kansas @ TCU: 14-51,0,3.72,466,1
Texas Tech @ Oklahoma: 16-55,0,4.97,323,1
Iowa State @ Baylor: 21-23,-2,-0.35,6,1
Montana State @ Texas Tech: 10-45,1,2.46,402,1
Nicholls @ Kansas State: 14-49,-2,0.43,297,1
Stephen F. Austin @ Baylor: 17-56,0,2.53,241,1
Louisiana Tech @ Texas: 14-45,-2,1.06,41,1
Arkansas-Pine Bluff @ TCU: 7-39,0,2.51,269,1
Oklahoma vs Texas: 34-27,-2,-4.06,-193,0
Texas Tech @ Baylor: 30-33,0,0.91,15,1
West Virginia @ Oklahoma: 14-52,0,5.91,320,1
Iowa State @ Texas Tech: 34-24,-1,-5.27,-153,0
TCU @ Kansas State: 17-24,0,-0.4,-100,1
Baylor @ Oklahoma State: 45-27,1,-4.72,-80,0
Kansas State @ Oklahoma State: 13-26,1,3.19,282,1
Oklahoma State @ Texas Tech: 35-45,-5,1.94,77,1
Oklahoma @ Kansas: 45-20,-1,-2.26,-185,0
TCU @ Iowa State: 24-49,-2,1.93,107,1
Baylor @ Kansas State: 31-12,2,-3.14,-85,0
Kansas @ Texas: 48-50,2,0.89,69,1
Indiana State @ Kansas: 17-24,1,0.32,-21,1
Bowling Green @ Kansas State: 0-52,0,3.58,381,1
Texas @ West Virginia: 42-31,3,1.39,32,0
Iowa State @ West Virginia: 38-14,1,-1.71,-189,0
South Dakota State @ Minnesota: 21-28,-1,-0.98,-59,1
